Index,Type,Group,Day,Time,Venue,Remark
 10250,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SS1,Mon,1430-1530,TR+37, Teaching Wk2-13
,Lab,SS1,Tue,1230-1430,SWLAB2," Teaching Wk2,4,6,8,10,12"
 10251,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SS2,Wed,0930-1030,TR+15, Teaching Wk2-13
,Lab,SS2,Tue,1430-1630,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10252,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SS3,Thu,0830-0930,TR+19, Teaching Wk2-13
,Lab,SS3,Fri,1230-1430,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10253,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SS4,Mon,1030-1130,TRX44, Teaching Wk2-13
,Lab,SS4,Mon,1430-1630,SWLAB1," Teaching Wk2,4,6,8,10,12"
 10254,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SS5,Mon,1430-1530,TR+18, Teaching Wk2-13
,Lab,SS5,Tue,1230-1430,SWLAB2," Teaching Wk1,3,5,7,9,11,13"
 10255,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SS6,Mon,1130-1230,TR+16, Teaching Wk2-13
,Lab,SS6,Mon,1430-1630,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10256,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SSP1,Tue,1430-1530,TR+16, Teaching Wk2-13
,Lab,SSP1,Fri,1230-1430,SWLAB2," Teaching Wk2,4,6,8,10,12"
 10257,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SSP2,Fri,1330-1430,TR+17, Teaching Wk2-13
,Lab,SSP2,Wed,1430-1630,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10258,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SSP3,Tue,0830-0930,TR+18, Teaching Wk2-13
,Lab,SSP3,Wed,1430-1630,SWLAB3," Teaching Wk2,4,6,8,10,12"
 10259,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SSP4,Mon,1030-1130,TR+19, Teaching Wk2-13
,Lab,SSP4,Wed,1030-1230,SWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10260,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SSP5,Fri,1330-1430,LHN-TR+18, Teaching Wk2-13
,Lab,SSP5,Mon,1430-1630,SWLAB3," Teaching Wk2,4,6,8,10,12"
 10261,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SSP6,Tue,0830-0930,LHN-TR+17, Teaching Wk2-13
,Lab,SSP6,Mon,1430-1630,SWLAB2," Teaching Wk1,3,5,7,9,11,13"
 10262,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SSP7,Wed,0930-1030,TR+19, Teaching Wk2-13
,Lab,SSP7,Fri,1230-1430,SWLAB3," Teaching Wk2,4,6,8,10,12"
 10466,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
,Tut,SS1,Mon,1430-1530,TR+37, Teaching Wk2-13
,Lab,SS7,Tue,1230-1430,SWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10467,Lec/Studio,CS2,Thu,1230-1330,ONLINE,
,Lec/Studio,CS2,Mon,1330-1430,ONLINE,
