Index,Type,Group,Day,Time,Venue,Remark
 19501,Lec/Studio,LEC1,Mon,0930-1130,ONLINE,
,Tut,T1,Mon,1230-1330,ONLINE, Teaching Wk2-13
 19502,Lec/Studio,LEC1,Mon,0930-1130,ONLINE,
,Tut,T2,Mon,1330-1430,ONLINE, Teaching Wk2-13
 19503,Lec/Studio,LEC1,Mon,0930-1130,ONLINE,
,Tut,T3,Mon,1430-1530,ONLINE, Teaching Wk2-13
 19504,Lec/Studio,LEC1,Mon,0930-1130,ONLINE,
,Tut,T4,Mon,1530-1630,ONLINE, Teaching Wk2-13
 19505,Lec/Studio,LEC1,Mon,0930-1130,ONLINE,
,Tut,T5,Tue,0930-1030,ONLINE, Teaching Wk2-13
 19506,Lec/Studio,LEC1,Mon,0930-1130,ONLINE,
,Tut,T6,Tue,1030-1130,ONLINE, Teaching Wk2-13
 19508,Lec/Studio,LEC1,Mon,0930-1130,ONLINE,
,Tut,T8,Tue,1230-1330,ONLINE, Teaching Wk2-13
