Index,Type,Group,Day,Time,Venue,Remark
 00980,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS1,Tue,0930-1030,S4-SR1, Teaching Wk2-13
 00981,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS2,Tue,1030-1130,S4-SR1, Teaching Wk2-13
 00982,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS3,Tue,0930-1030,S4-SR10, Teaching Wk2-13
 00983,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS4,Tue,1030-1130,S4-SR10, Teaching Wk2-13
 00984,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS5,Tue,1430-1530,S4-SR1, Teaching Wk2-13
 00985,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS6,Tue,1430-1530,S4-SR15, Teaching Wk2-13
 00986,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS7,Tue,1530-1630,S4-SR1, Teaching Wk2-13
 00987,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS8,Tue,1530-1630,S4-SR15, Teaching Wk2-13
 00988,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS9,Thu,1030-1130,S4-SR6, Teaching Wk2-13
 00989,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS10,Thu,1030-1130,S4-SR9, Teaching Wk2-13
 00990,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS11,Thu,1130-1230,S4-SR6, Teaching Wk2-13
 00991,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS12,Thu,1330-1430,S3-SR9, Teaching Wk2-13
 00992,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS13,Thu,1430-1530,S3-SR9, Teaching Wk2-13
 00993,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS14,Thu,1330-1430,S4-SR15, Teaching Wk2-13
 00994,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS15,Thu,1430-1530,S4-SR15, Teaching Wk2-13
 00995,Lec/Studio,NBS,Mon,1230-1430,ONLINE,
,Tut,NBS16,Thu,1530-1630,S4-SR15, Teaching Wk2-13
 08740,Lec/Studio,SBS,Mon,1630-1830,ONLINE,
,Tut,SBS1,Tue,1130-1230,S4-SR1, Teaching Wk2-13
 08741,Lec/Studio,SBS,Mon,1630-1830,ONLINE,
,Tut,SBS2,Tue,1130-1230,S4-SR10, Teaching Wk2-13
 08742,Lec/Studio,SBS,Mon,1630-1830,ONLINE,
,Tut,SBS3,Thu,1630-1730,S4-SR15, Teaching Wk2-13
 08743,Lec/Studio,SBS,Mon,1630-1830,ONLINE,
,Tut,SBS4,Thu,1630-1730,S3-SR9, Teaching Wk2-13
 08744,Lec/Studio,SBS,Mon,1630-1830,ONLINE,
,Tut,SBS5,Fri,1530-1630,LHS-TR+37, Teaching Wk2-13
 08745,Lec/Studio,SBS,Mon,1630-1830,ONLINE,
,Tut,SBS6,Fri,1630-1730,LHS-TR+37, Teaching Wk2-13
 19584,Lec/Studio,SBS,Mon,1630-1830,ONLINE,
,Tut,HSS1,Wed,1330-1430,TR+77, Teaching Wk2-13
 19585,Lec/Studio,SBS,Mon,1630-1830,ONLINE,
,Tut,HSS2,Wed,1430-1530,TR+77, Teaching Wk2-13
 19586,Lec/Studio,SBS,Mon,1630-1830,ONLINE,
,Tut,HSS3,Wed,1530-1630,TR+77, Teaching Wk2-13
