Index,Type,Group,Day,Time,Venue,Remark
 10081,Tut,SCE1,Mon,1430-1630,LHN-TR+10, Teaching Wk2-13
 10082,Tut,SCE10,Tue,1030-1230,LHS-TR+20, Teaching Wk2-13
 10083,Tut,SCE11,Tue,0830-1030,LHN-TR+16, Teaching Wk2-13
 10084,Tut,SCE12,Tue,1530-1730,TR+15, Teaching Wk2-13
 10085,Tut,SCE13,Fri,0930-1130,LHN-TR+16, Teaching Wk2-13
 10086,Tut,SCE14,Tue,1430-1630,LHN-TR+16, Teaching Wk2-13
 10087,Tut,SCE15,Thu,1630-1830,TR+15, Teaching Wk2-13
 10088,Tut,SCE16,Fri,1430-1630,LHS-TR+2, Teaching Wk2-13
 10089,Tut,SCE17,Wed,1530-1730,LHN-TR+18, Teaching Wk2-13
 10090,Tut,SCE18,Fri,1430-1630,TR+33, Teaching Wk2-13
 10091,Tut,SCE19,Wed,1430-1630,LHS-TR+3, Teaching Wk2-13
 10092,Tut,SCE2,Mon,1430-1630,LHN-TR+13, Teaching Wk2-13
 10093,Tut,SCE20,Thu,1230-1430,TR+17, Teaching Wk2-13
 10094,Tut,SCE21,Mon,0830-1030,TR+37, Teaching Wk2-13
 10095,Tut,SCE3,Tue,0830-1030,LHS-TR+20, Teaching Wk2-13
 10096,Tut,SCE4,Wed,1430-1630,TR+17, Teaching Wk2-13
 10097,Tut,SCE5,Wed,1430-1630,TR+16, Teaching Wk2-13
 10098,Tut,SCE6,Wed,1630-1830,TR+16, Teaching Wk2-13
 10099,Tut,SCE7,Wed,1630-1830,TR+17, Teaching Wk2-13
 10100,Tut,SCE8,Thu,0830-1030,TR+18, Teaching Wk2-13
 10101,Tut,SCE9,Thu,0830-1030,LHN-TR+23, Teaching Wk2-13
 15171,Tut,MAT1,Mon,1330-1530,LHS-TR+25, Teaching Wk2-13
 15172,Tut,MAT2,Mon,1330-1530,LHS-TR+26, Teaching Wk2-13
 15173,Tut,MAT3,Mon,1230-1430,LHS-TR+27, Teaching Wk2-13
 15174,Tut,MAT4,Tue,1330-1530,LHS-TR+25, Teaching Wk2-13
 15175,Tut,MAT5,Fri,1230-1430,LHS-TR+2, Teaching Wk2-13
 23293,Tut,MA1,Mon,1630-1830,LHN-TR+13, Teaching Wk2-13
 23294,Tut,MA2,Mon,1630-1830,LHN-TR+10, Teaching Wk2-13
 23295,Tut,MA3,Mon,1630-1830,TR+5, Teaching Wk2-13
 23296,Tut,MA4,Tue,1630-1830,TR+1, Teaching Wk2-13
 23297,Tut,MA5,Tue,1630-1830,TR+2, Teaching Wk2-13
 23298,Tut,MA6,Tue,1630-1830,TR+3, Teaching Wk2-13
 23299,Tut,MA7,Fri,1630-1830,TR+112, Teaching Wk2-13
 23300,Tut,MA8,Fri,1630-1830,LHN-TR+10, Teaching Wk2-13
 23301,Tut,MA9,Fri,1630-1830,TR+3, Teaching Wk2-13
 23302,Tut,MA10,Fri,1630-1830,TR+33, Teaching Wk2-13
 23516,Tut,MA11,Fri,1630-1830,TR+6, Teaching Wk2-13
 23517,Tut,MA12,Fri,1630-1830,LHS-TR+2, Teaching Wk2-13
 28101,Tut,CV1,Wed,1630-1830,TR+106, Teaching Wk2-13
 28102,Tut,CV2,Tue,1630-1830,LHN-TR+16, Teaching Wk2-13
 32044,Tut,EE01,Mon,0930-1130,LHS-TR+8, Teaching Wk2-13
