Index,Type,Group,Day,Time,Venue,Remark
 71120,Lec/Studio,LE2,Thu,1430-1630,TCT-LT,
,Lec/Studio,LE2,Wed,1530-1630,SPMS-LT1,
,Tut,T_1,Wed,1630-1730,SPMS-LT1, Teaching Wk2-13
 71121,Lec/Studio,LE2,Thu,1430-1630,TCT-LT,
,Lec/Studio,LE2,Wed,1530-1630,SPMS-LT1,
,Tut,T_1,Wed,1630-1730,SPMS-LT1, Teaching Wk2-13
 71122,Lec/Studio,LE2,Thu,1430-1630,TCT-LT,
,Lec/Studio,LE2,Wed,1530-1630,SPMS-LT1,
,Tut,T_1,Wed,1630-1730,SPMS-LT1, Teaching Wk2-13
 71123,Lec/Studio,LE2,Thu,1430-1630,TCT-LT,
,Lec/Studio,LE2,Wed,1530-1630,SPMS-LT1,
,Tut,T_1,Wed,1630-1730,SPMS-LT1, Teaching Wk2-13
