Index,Type,Group,Day,Time,Venue,Remark
 06118,,CS,,,,  Online Course
 08560,,SBS1,,,,  Online Course
 08561,,SBS2,,,,  Online Course
 08562,,SBS3,,,,  Online Course
 10129,,SCSE,,,,  Online Course
 15604,,MAT,,,,  Online Course
 17999,,SOH,,,,  Online Course
 19985,,SSS,,,,  Online Course
 23003,,MAE,,,,  Online Course
 36006,,EEE,,,,  Online Course
 58130,,CBE,,,,  Online Course
 63170,,ADM,,,,  Online Course
 68201,,SSM,,,,  Online Course
 71550,,SPMS,,,,  Online Course
 80219,,REP,,,,  Online Course
