Index,Type,Group,Day,Time,Venue,Remark
 71710,Lec/Studio,LE2,Mon,1730-1900,ONLINE," Teaching Wk11,12"
,Tut,T_1,Tue,1430-1630,ONLINE," Teaching Wk1,3,5,7,9"
 71711,Lec/Studio,LE2,Mon,1730-1900,ONLINE," Teaching Wk11,12"
,Tut,T_2,Tue,1430-1630,ONLINE," Teaching Wk1,3,5,7,9"
 71712,Lec/Studio,LE2,Mon,1730-1900,ONLINE," Teaching Wk11,12"
,Tut,T_3,Tue,1630-1830,ONLINE," Teaching Wk1,3,5,7,9"
 71713,Lec/Studio,LE2,Mon,1730-1900,ONLINE," Teaching Wk11,12"
,Tut,T_4,Fri,1230-1430,ONLINE," Teaching Wk2,4,6,8,10"
 71714,Lec/Studio,LE2,Mon,1730-1900,ONLINE," Teaching Wk11,12"
,Tut,T_5,Fri,1230-1430,ONLINE," Teaching Wk2,4,6,8,10"
