Index,Type,Group,Day,Time,Venue,Remark
10242,Lec/Studio,CS2,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10242,Lec/Studio,CS2,4,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10242,Tut,SSP1,5,1630 1730,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10242,Lab,SSP1,3,1030 1230,SWLAB3,1 3 5 7 9 11 13
10243,Lec/Studio,CS2,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10243,Lec/Studio,CS2,4,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10243,Tut,SSP2,4,0830 0930,TR+9,2 3 4 5 6 7 8 9 10 11 12 13
10243,Lab,SSP2,3,0830 1030,SWLAB3,2 4 6 8 10 12
10244,Lec/Studio,CS2,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10244,Lec/Studio,CS2,4,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10244,Tut,SSP3,5,1330 1430,TR+37,2 3 4 5 6 7 8 9 10 11 12 13
10244,Lab,SSP3,2,1230 1430,SWLAB3,1 3 5 7 9 11 13
10245,Lec/Studio,CS2,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10245,Lec/Studio,CS2,4,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10245,Tut,SSP4,2,1430 1530,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10245,Lab,SSP4,3,1030 1230,SWLAB3,2 4 6 8 10 12
10246,Lec/Studio,CS2,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10246,Lec/Studio,CS2,4,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10246,Tut,SSP5,1,1030 1130,TR+33,2 3 4 5 6 7 8 9 10 11 12 13
10246,Lab,SSP5,3,1430 1630,SWLAB3,1 3 5 7 9 11 13
10247,Lec/Studio,CS2,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10247,Lec/Studio,CS2,4,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10247,Tut,SSP6,4,1130 1230,LHN-TR+13,2 3 4 5 6 7 8 9 10 11 12 13
10247,Lab,SSP6,5,1030 1230,SWLAB3,1 3 5 7 9 11 13
10248,Lec/Studio,CS2,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10248,Lec/Studio,CS2,4,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10248,Tut,SSP7,5,1630 1730,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10248,Lab,SSP7,2,1230 1430,SWLAB3,2 4 6 8 10 12
10249,Lec/Studio,CS2,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10249,Lec/Studio,CS2,4,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10249,Tut,SSP8,4,0830 0930,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10249,Lab,SSP8,3,0830 1030,SWLAB3,1 3 5 7 9 11 13
10324,Lec/Studio,CS2,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10324,Lec/Studio,CS2,4,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10324,Tut,SSP9,1,1030 1130,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10324,Lab,SSP9,3,1430 1630,SWLAB3,2 4 6 8 10 12
10325,Lec/Studio,CS2,1,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10325,Lec/Studio,CS2,4,1330 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
10325,Tut,SSP10,3,1230 1330,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10325,Lab,SSP10,2,1230 1430,SWLAB3,2 4 6 8 10 12
