Index,Type,Group,Day,Time,Venue,Remark
00980,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00980,Tut,NBS1,2,0930 1030,S4-SR1,2 3 4 5 6 7 8 9 10 11 12 13
00981,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00981,Tut,NBS2,2,1030 1130,S4-SR1,2 3 4 5 6 7 8 9 10 11 12 13
00982,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00982,Tut,NBS3,2,0930 1030,S4-SR10,2 3 4 5 6 7 8 9 10 11 12 13
00983,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00983,Tut,NBS4,2,1030 1130,S4-SR10,2 3 4 5 6 7 8 9 10 11 12 13
00984,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00984,Tut,NBS5,2,1430 1530,S4-SR1,2 3 4 5 6 7 8 9 10 11 12 13
00985,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00985,Tut,NBS6,2,1430 1530,S4-SR15,2 3 4 5 6 7 8 9 10 11 12 13
00986,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00986,Tut,NBS7,2,1530 1630,S4-SR1,2 3 4 5 6 7 8 9 10 11 12 13
00987,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00987,Tut,NBS8,2,1530 1630,S4-SR15,2 3 4 5 6 7 8 9 10 11 12 13
00988,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00988,Tut,NBS9,4,1030 1130,S4-SR6,2 3 4 5 6 7 8 9 10 11 12 13
00989,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00989,Tut,NBS10,4,1030 1130,S4-SR9,2 3 4 5 6 7 8 9 10 11 12 13
00990,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00990,Tut,NBS11,4,1130 1230,S4-SR6,2 3 4 5 6 7 8 9 10 11 12 13
00991,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00991,Tut,NBS12,4,1330 1430,S3-SR9,2 3 4 5 6 7 8 9 10 11 12 13
00992,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00992,Tut,NBS13,4,1430 1530,S3-SR9,2 3 4 5 6 7 8 9 10 11 12 13
00993,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00993,Tut,NBS14,4,1330 1430,S4-SR15,2 3 4 5 6 7 8 9 10 11 12 13
00994,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00994,Tut,NBS15,4,1430 1530,S4-SR15,2 3 4 5 6 7 8 9 10 11 12 13
00995,Lec/Studio,NBS,1,1230 1430,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
00995,Tut,NBS16,4,1530 1630,S4-SR15,2 3 4 5 6 7 8 9 10 11 12 13
08740,Lec/Studio,SBS,1,1630 1830,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
08740,Tut,SBS1,2,1130 1230,S4-SR1,2 3 4 5 6 7 8 9 10 11 12 13
08741,Lec/Studio,SBS,1,1630 1830,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
08741,Tut,SBS2,2,1130 1230,S4-SR10,2 3 4 5 6 7 8 9 10 11 12 13
08742,Lec/Studio,SBS,1,1630 1830,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
08742,Tut,SBS3,4,1630 1730,S4-SR15,2 3 4 5 6 7 8 9 10 11 12 13
08743,Lec/Studio,SBS,1,1630 1830,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
08743,Tut,SBS4,4,1630 1730,S3-SR9,2 3 4 5 6 7 8 9 10 11 12 13
08744,Lec/Studio,SBS,1,1630 1830,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
08744,Tut,SBS5,5,1530 1630,LHS-TR+37,2 3 4 5 6 7 8 9 10 11 12 13
08745,Lec/Studio,SBS,1,1630 1830,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
08745,Tut,SBS6,5,1630 1730,LHS-TR+37,2 3 4 5 6 7 8 9 10 11 12 13
19584,Lec/Studio,SBS,1,1630 1830,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
19584,Tut,HSS1,3,1330 1430,TR+77,2 3 4 5 6 7 8 9 10 11 12 13
19585,Lec/Studio,SBS,1,1630 1830,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
19585,Tut,HSS2,3,1430 1530,TR+77,2 3 4 5 6 7 8 9 10 11 12 13
19586,Lec/Studio,SBS,1,1630 1830,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
19586,Tut,HSS3,3,1530 1630,TR+77,2 3 4 5 6 7 8 9 10 11 12 13
