Index,Type,Group,Day,Time,Venue,Remark
10081,Tut,SCE1,1,1430 1630,LHN-TR+10,2 3 4 5 6 7 8 9 10 11 12 13
10082,Tut,SCE10,2,1030 1230,LHS-TR+20,2 3 4 5 6 7 8 9 10 11 12 13
10083,Tut,SCE11,2,0830 1030,LHN-TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10084,Tut,SCE12,2,1530 1730,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10085,Tut,SCE13,5,0930 1130,LHN-TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10086,Tut,SCE14,2,1430 1630,LHN-TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10087,Tut,SCE15,4,1630 1830,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
10088,Tut,SCE16,5,1430 1630,LHS-TR+2,2 3 4 5 6 7 8 9 10 11 12 13
10089,Tut,SCE17,3,1530 1730,LHN-TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10090,Tut,SCE18,5,1430 1630,TR+33,2 3 4 5 6 7 8 9 10 11 12 13
10091,Tut,SCE19,3,1430 1630,LHS-TR+3,2 3 4 5 6 7 8 9 10 11 12 13
10092,Tut,SCE2,1,1430 1630,LHN-TR+13,2 3 4 5 6 7 8 9 10 11 12 13
10093,Tut,SCE20,4,1230 1430,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10094,Tut,SCE21,1,0830 1030,TR+37,2 3 4 5 6 7 8 9 10 11 12 13
10095,Tut,SCE3,2,0830 1030,LHS-TR+20,2 3 4 5 6 7 8 9 10 11 12 13
10096,Tut,SCE4,3,1430 1630,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10097,Tut,SCE5,3,1430 1630,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10098,Tut,SCE6,3,1630 1830,TR+16,2 3 4 5 6 7 8 9 10 11 12 13
10099,Tut,SCE7,3,1630 1830,TR+17,2 3 4 5 6 7 8 9 10 11 12 13
10100,Tut,SCE8,4,0830 1030,TR+18,2 3 4 5 6 7 8 9 10 11 12 13
10101,Tut,SCE9,4,0830 1030,LHN-TR+23,2 3 4 5 6 7 8 9 10 11 12 13
15171,Tut,MAT1,1,1330 1530,LHS-TR+25,2 3 4 5 6 7 8 9 10 11 12 13
15172,Tut,MAT2,1,1330 1530,LHS-TR+26,2 3 4 5 6 7 8 9 10 11 12 13
15173,Tut,MAT3,1,1230 1430,LHS-TR+27,2 3 4 5 6 7 8 9 10 11 12 13
15174,Tut,MAT4,2,1330 1530,LHS-TR+25,2 3 4 5 6 7 8 9 10 11 12 13
15175,Tut,MAT5,5,1230 1430,LHS-TR+2,2 3 4 5 6 7 8 9 10 11 12 13
23293,Tut,MA1,1,1630 1830,LHN-TR+13,2 3 4 5 6 7 8 9 10 11 12 13
23294,Tut,MA2,1,1630 1830,LHN-TR+10,2 3 4 5 6 7 8 9 10 11 12 13
23295,Tut,MA3,1,1630 1830,TR+5,2 3 4 5 6 7 8 9 10 11 12 13
23296,Tut,MA4,2,1630 1830,TR+1,2 3 4 5 6 7 8 9 10 11 12 13
23297,Tut,MA5,2,1630 1830,TR+2,2 3 4 5 6 7 8 9 10 11 12 13
23298,Tut,MA6,2,1630 1830,TR+3,2 3 4 5 6 7 8 9 10 11 12 13
23299,Tut,MA7,5,1630 1830,TR+112,2 3 4 5 6 7 8 9 10 11 12 13
23300,Tut,MA8,5,1630 1830,LHN-TR+10,2 3 4 5 6 7 8 9 10 11 12 13
23301,Tut,MA9,5,1630 1830,TR+3,2 3 4 5 6 7 8 9 10 11 12 13
23302,Tut,MA10,5,1630 1830,TR+33,2 3 4 5 6 7 8 9 10 11 12 13
23516,Tut,MA11,5,1630 1830,TR+6,2 3 4 5 6 7 8 9 10 11 12 13
23517,Tut,MA12,5,1630 1830,LHS-TR+2,2 3 4 5 6 7 8 9 10 11 12 13
28101,Tut,CV1,3,1630 1830,TR+106,2 3 4 5 6 7 8 9 10 11 12 13
28102,Tut,CV2,2,1630 1830,LHN-TR+16,2 3 4 5 6 7 8 9 10 11 12 13
32044,Tut,EE01,1,0930 1130,LHS-TR+8,2 3 4 5 6 7 8 9 10 11 12 13
32045,Tut,EE02,1,0930 1130,LHS-TR+9,2 3 4 5 6 7 8 9 10 11 12 13
32046,Tut,EE03,1,0930 1130,LHS-TR+10,2 3 4 5 6 7 8 9 10 11 12 13
32047,Tut,EE04,2,0930 1130,LHS-TR+8,2 3 4 5 6 7 8 9 10 11 12 13
32048,Tut,EE05,2,0930 1130,LHS-TR+9,2 3 4 5 6 7 8 9 10 11 12 13
32049,Tut,EE06,2,1330 1530,LHS-TR+8,2 3 4 5 6 7 8 9 10 11 12 13
32050,Tut,EE07,2,1330 1530,LHS-TR+9,2 3 4 5 6 7 8 9 10 11 12 13
32051,Tut,EE08,3,1330 1530,LHN-TR+18,2 3 4 5 6 7 8 9 10 11 12 13
32052,Tut,EE09,3,1530 1730,LHS-TR+9,2 3 4 5 6 7 8 9 10 11 12 13
32053,Tut,EE10,4,0930 1130,LHS-TR+8,2 3 4 5 6 7 8 9 10 11 12 13
32054,Tut,EE11,4,0930 1130,LHS-TR+9,2 3 4 5 6 7 8 9 10 11 12 13
32055,Tut,EE12,4,1330 1530,LHS-TR+8,2 3 4 5 6 7 8 9 10 11 12 13
32056,Tut,EE13,4,1330 1530,LHS-TR+9,2 3 4 5 6 7 8 9 10 11 12 13
32057,Tut,EE14,4,1530 1730,LHS-TR+25,2 3 4 5 6 7 8 9 10 11 12 13
50010,Tut,A01,2,0830 1030,TR+108,2 3 4 5 6 7 8 9 10 11 12 13
50011,Tut,A02,2,0830 1030,TR+109,2 3 4 5 6 7 8 9 10 11 12 13
50012,Tut,A03,4,1330 1530,TR+109,2 3 4 5 6 7 8 9 10 11 12 13
50013,Tut,A04,2,0930 1130,TR+111,2 3 4 5 6 7 8 9 10 11 12 13
50014,Tut,A05,4,1330 1530,LHS-TR+7,2 3 4 5 6 7 8 9 10 11 12 13
50015,Tut,A06,4,1330 1530,LHS-TR+25,2 3 4 5 6 7 8 9 10 11 12 13
50016,Tut,A07,5,1330 1530,TR+3,2 3 4 5 6 7 8 9 10 11 12 13
50017,Tut,A08,5,1330 1530,TR+4,2 3 4 5 6 7 8 9 10 11 12 13
50018,Tut,A09,3,1030 1230,LHS-TR+24,2 3 4 5 6 7 8 9 10 11 12 13
50019,Tut,A10,3,1030 1230,CSKL7,2 3 4 5 6 7 8 9 10 11 12 13
50020,Tut,A11,5,0930 1130,CSKL6,2 3 4 5 6 7 8 9 10 11 12 13
50021,Tut,A12,4,1330 1530,TR+110,2 3 4 5 6 7 8 9 10 11 12 13
50022,Tut,A13,3,1130 1330,LHS-TR+34,2 3 4 5 6 7 8 9 10 11 12 13
50023,Tut,A14,3,1230 1430,LHS-TR+3,2 3 4 5 6 7 8 9 10 11 12 13
50024,Tut,A15,1,1530 1730,TR+113,2 3 4 5 6 7 8 9 10 11 12 13
50025,Tut,A16,1,1530 1730,LHS-TR+25,2 3 4 5 6 7 8 9 10 11 12 13
50026,Tut,A17,5,1030 1230,CSKL9,2 3 4 5 6 7 8 9 10 11 12 13
50027,Tut,A18,5,1030 1230,TR+3,2 3 4 5 6 7 8 9 10 11 12 13
50028,Tut,B01,3,1430 1630,TR+106,2 3 4 5 6 7 8 9 10 11 12 13
50029,Tut,B02,3,1430 1630,TR+107,2 3 4 5 6 7 8 9 10 11 12 13
50030,Tut,B03,5,0830 1030,TR+15,2 3 4 5 6 7 8 9 10 11 12 13
50031,Tut,B04,5,1430 1630,TR+112,2 3 4 5 6 7 8 9 10 11 12 13
50032,Tut,B05,1,1230 1430,LHS-TR+9,2 3 4 5 6 7 8 9 10 11 12 13
50033,Tut,B06,1,1130 1330,TR+112,2 3 4 5 6 7 8 9 10 11 12 13
50034,Tut,B07,1,0930 1130,TR+113,2 3 4 5 6 7 8 9 10 11 12 13
50035,Tut,B08,1,0930 1130,TR+114,2 3 4 5 6 7 8 9 10 11 12 13
50036,Tut,B09,5,0830 1030,CSKL9,2 3 4 5 6 7 8 9 10 11 12 13
50037,Tut,B10,4,1530 1730,LHS-TR+7,2 3 4 5 6 7 8 9 10 11 12 13
50038,Tut,B11,4,1030 1230,TR+109,2 3 4 5 6 7 8 9 10 11 12 13
50039,Tut,B12,3,1630 1830,TR+107,2 3 4 5 6 7 8 9 10 11 12 13
50040,Tut,B13,4,0930 1130,TR+113,2 3 4 5 6 7 8 9 10 11 12 13
50041,Tut,B14,4,0930 1130,TR+114,2 3 4 5 6 7 8 9 10 11 12 13
50042,Tut,B15,4,1030 1230,LHN-TR+23,2 3 4 5 6 7 8 9 10 11 12 13
50043,Tut,B16,2,0930 1130,TR+110,2 3 4 5 6 7 8 9 10 11 12 13
