Index,Type,Group,Day,Time,Venue,Remark
71000,Lec/Studio,LE2,2,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71000,Lec/Studio,LE2,5,1430 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71000,Tut,T_1,3,0830 0930,SPMS-TR+9,2 3 4 5 6 7 8 9 10 11 12 13
71001,Lec/Studio,LE2,2,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71001,Lec/Studio,LE2,5,1430 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71001,Tut,T_2,3,0830 0930,SPMS-TR+7,2 3 4 5 6 7 8 9 10 11 12 13
71002,Lec/Studio,LE2,2,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71002,Lec/Studio,LE2,5,1430 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71002,Tut,T_3,3,0830 0930,SPMS-TR+8,2 3 4 5 6 7 8 9 10 11 12 13
71003,Lec/Studio,LE2,2,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71003,Lec/Studio,LE2,5,1430 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71003,Tut,T_4,3,0930 1030,SPMS-TR+9,2 3 4 5 6 7 8 9 10 11 12 13
71004,Lec/Studio,LE2,2,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71004,Lec/Studio,LE2,5,1430 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71004,Tut,T_5,3,0930 1030,SPMS-TR+7,2 3 4 5 6 7 8 9 10 11 12 13
71005,Lec/Studio,LE2,2,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71005,Lec/Studio,LE2,5,1430 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71005,Tut,T_6,3,0930 1030,SPMS-TR+8,2 3 4 5 6 7 8 9 10 11 12 13
71006,Lec/Studio,LE2,2,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71006,Lec/Studio,LE2,5,1430 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71006,Tut,T_7,3,1030 1130,SPMS-TR+9,2 3 4 5 6 7 8 9 10 11 12 13
71007,Lec/Studio,LE2,2,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71007,Lec/Studio,LE2,5,1430 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71007,Tut,T_8,3,1030 1130,SPMS-TR+7,2 3 4 5 6 7 8 9 10 11 12 13
71008,Lec/Studio,LE2,2,1130 1230,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71008,Lec/Studio,LE2,5,1430 1630,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71008,Tut,T_9,3,1030 1130,SPMS-TR+8,2 3 4 5 6 7 8 9 10 11 12 13
