Index,Type,Group,Day,Time,Venue,Remark
71050,Lec/Studio,LE2,5,0830 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71050,Lec/Studio,LE2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71050,Tut,T_1,4,1130 1230,LHS-TR+27,2 3 4 5 6 7 8 9 10 11 12 13
71051,Lec/Studio,LE2,5,0830 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71051,Lec/Studio,LE2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71051,Tut,T_2,4,1130 1230,LHS-TR+28,2 3 4 5 6 7 8 9 10 11 12 13
71052,Lec/Studio,LE2,5,0830 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71052,Lec/Studio,LE2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71052,Tut,T_3,4,1130 1230,LHS-TR+31,2 3 4 5 6 7 8 9 10 11 12 13
71053,Lec/Studio,LE2,5,0830 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71053,Lec/Studio,LE2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71053,Tut,T_4,4,1130 1230,SPMS-TR+6,2 3 4 5 6 7 8 9 10 11 12 13
71054,Lec/Studio,LE2,5,0830 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71054,Lec/Studio,LE2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71054,Tut,T_5,4,1330 1430,LHS-TR+24,2 3 4 5 6 7 8 9 10 11 12 13
71055,Lec/Studio,LE2,5,0830 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71055,Lec/Studio,LE2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71055,Tut,T_6,4,1330 1430,LHS-TR+27,2 3 4 5 6 7 8 9 10 11 12 13
71056,Lec/Studio,LE2,5,0830 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71056,Lec/Studio,LE2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71056,Tut,T_7,4,1330 1430,LHS-TR+28,2 3 4 5 6 7 8 9 10 11 12 13
71057,Lec/Studio,LE2,5,0830 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71057,Lec/Studio,LE2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71057,Tut,T_8,4,1330 1430,SPMS-TR+15,2 3 4 5 6 7 8 9 10 11 12 13
71058,Lec/Studio,LE2,5,0830 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71058,Lec/Studio,LE2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71058,Tut,T_9,4,1630 1730,LHS-TR+39,2 3 4 5 6 7 8 9 10 11 12 13
71059,Lec/Studio,LE2,5,0830 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71059,Lec/Studio,LE2,2,0930 1030,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
71059,Tut,T_10,4,1630 1730,LHS-TR+40,2 3 4 5 6 7 8 9 10 11 12 13
